time,open,high,low,close,volume
1763337600000,3510,3595,3510,3595,5923
1763078400000,3575,3575,3510,3510,5841
1762992000000,3550,3575,3550,3575,5813
1762905600000,3545,3550,3545,3550,4188
1762819200000,3490,3545,3490,3545,5567
1762732800000,3460,3490,3460,3490,2502
1762473600000,3450,3460,3450,3460,4586
1762387200000,3450,3450,3450,3450,12129
1762300800000,3450,3450,3450,3450,3721
1762214400000,3495,3495,3450,3450,2171
1762128000000,3500,3500,3495,3495,12440
1761868800000,3675,3675,3500,3500,8833
1761782400000,3700,3700,3675,3675,3498
1761696000000,3720,3720,3700,3700,1197
1761609600000,3655,3720,3655,3720,4079
1761523200000,3780,3780,3655,3655,16356
1761264000000,3750,3780,3750,3780,5906
1761177600000,3800,3800,3750,3750,3183
1761091200000,3800,3800,3800,3800,1426
1761004800000,3805,3805,3800,3800,11968
1760918400000,3850,3850,3805,3805,1725
1760659200000,3810,3850,3810,3850,1484
1760572800000,3805,3810,3805,3810,2260
1760486400000,3885,3885,3805,3805,1209
1760400000000,3885,3885,3885,3885,7058
1760313600000,3890,3890,3885,3885,1640
1760054400000,3890,3890,3890,3890,3071
1759968000000,3890,3890,3890,3890,1668
1759881600000,3900,3900,3890,3890,3199
1759795200000,3950,3950,3900,3900,1981
1759708800000,3875,3950,3875,3950,10827
1759449600000,3895,3895,3875,3875,1317
1759363200000,3920,3920,3895,3895,2925
1759276800000,3980,3980,3920,3920,1226
1759190400000,3960,3980,3960,3980,1185
1759104000000,4000,4000,3960,3960,1997
1758844800000,3815,4000,3815,4000,2338
1758758400000,3680,3815,3680,3815,2985
1758672000000,3870,3870,3680,3680,24924
1758585600000,4180,4180,3870,3870,14102
1758499200000,4190,4190,4180,4180,9880
1758240000000,4200,4200,4190,4190,6273
1758153600000,4150,4200,4150,4200,349
1758067200000,4145,4150,4145,4150,9376
1757980800000,4135,4145,4135,4145,2337
1757894400000,4050,4135,4050,4135,2015
1757635200000,4100,4100,4050,4050,2153
1757548800000,4010,4100,4010,4100,822
1757462400000,3985,4010,3985,4010,3426
1757376000000,3950,3985,3950,3985,2989
1757289600000,3950,3950,3950,3950,5338
1757030400000,3910,3950,3910,3950,388
1756857600000,3905,3910,3905,3910,3387
1756771200000,3900,3905,3900,3905,2039
1756684800000,3760,3900,3760,3900,2153
1756425600000,3800,3800,3760,3760,1668
1756339200000,3825,3825,3800,3800,579
1756252800000,3755,3825,3755,3825,3136
1756166400000,3830,3830,3755,3755,9739
1756080000000,3740,3830,3740,3830,486
1755820800000,3695,3740,3695,3740,2984
1755734400000,3685,3695,3685,3695,3109
1755648000000,3625,3685,3625,3685,3527
1755561600000,3625,3625,3625,3625,6724
1755475200000,3600,3625,3600,3625,549
1755129600000,3555,3600,3555,3600,2843
1755043200000,3545,3555,3545,3555,2068
1754956800000,3520,3545,3520,3545,2063
1754870400000,3520,3520,3520,3520,7488
1754611200000,3550,3550,3520,3520,2355
1754438400000,3550,3550,3550,3550,333
1754352000000,3580,3580,3550,3550,346
1754265600000,3570,3580,3570,3580,19381
1754006400000,3590,3590,3570,3570,26812
1753920000000,3570,3590,3570,3590,1309
1753833600000,3565,3570,3565,3570,1298
1753747200000,3550,3565,3550,3565,6694
1753660800000,3565,3565,3550,3550,5131
1753401600000,3565,3565,3565,3565,4909
1753315200000,3570,3570,3565,3565,2130
1753228800000,3485,3570,3485,3570,2052
1753142400000,3475,3485,3475,3485,1810
1753056000000,3490,3490,3475,3475,2659
1752796800000,3495,3495,3490,3490,673
1752710400000,3495,3495,3495,3495,1365
1752624000000,3495,3495,3495,3495,2219
1752537600000,3475,3495,3475,3495,4453
1752451200000,3475,3475,3475,3475,4083
1752192000000,3500,3500,3475,3475,3468
1752105600000,3480,3500,3480,3500,1038
1752019200000,3420,3480,3420,3480,9698
1751932800000,3400,3420,3400,3420,1156
1751846400000,3500,3500,3400,3400,1590
1751587200000,3500,3500,3500,3500,6853
1751500800000,3425,3500,3425,3500,1041
1751414400000,3500,3500,3425,3425,2752
1751328000000,3500,3500,3500,3500,6460
1751241600000,3580,3580,3500,3500,2696
1750982400000,3595,3595,3580,3580,624
1750896000000,3600,3600,3595,3595,8896
1750809600000,3550,3600,3550,3600,992
1750723200000,3750,3750,3550,3550,17697
1750636800000,3650,3750,3650,3750,1536
1750377600000,3650,3650,3650,3650,856
1750291200000,3650,3650,3650,3650,4283
1750204800000,3650,3650,3650,3650,1033
1750118400000,3790,3790,3650,3650,1460
1750032000000,3640,3790,3640,3790,5613
1749772800000,3800,3800,3640,3640,12822
1749686400000,3790,3800,3790,3800,1735
1749600000000,3800,3800,3790,3790,2613
1749513600000,3735,3800,3735,3800,6982
1749081600000,3735,3735,3735,3735,297
1748995200000,3630,3735,3630,3735,6213
1748908800000,3550,3630,3550,3630,850
1748822400000,3620,3620,3550,3550,2958
1748563200000,3600,3620,3600,3620,1258
1748390400000,3545,3600,3545,3600,2804
1748304000000,3500,3545,3500,3545,3340
1748217600000,3605,3605,3500,3500,3516
1747958400000,3645,3645,3605,3605,555
1747872000000,3595,3645,3595,3645,1687
1747785600000,3600,3600,3595,3595,1746
1747699200000,3590,3600,3590,3600,1174
1747612800000,3490,3590,3490,3590,6272
1747353600000,3490,3490,3490,3490,685
1747267200000,3380,3490,3380,3490,1602
1747180800000,3495,3495,3380,3380,5783
1747094400000,3365,3495,3365,3495,11230
1747008000000,3230,3365,3230,3365,4601
1746748800000,3225,3230,3225,3230,5421
1746662400000,3250,3250,3225,3225,5902
1746576000000,3375,3375,3250,3250,3301
1746489600000,3250,3375,3250,3375,3156
1746403200000,3210,3250,3210,3250,12803
1746144000000,3250,3250,3210,3210,7142
1745971200000,3505,3505,3250,3250,7037
1745884800000,3600,3600,3505,3505,3935
1745798400000,3640,3640,3600,3600,2196
1745539200000,3700,3700,3640,3640,2460
1745452800000,3825,3825,3700,3700,3334
1745366400000,3895,3895,3825,3825,1366
1745280000000,3995,3995,3895,3895,862
1744934400000,4020,4020,3995,3995,439
1744848000000,4310,4310,4020,4020,1369
1744761600000,4285,4310,4285,4310,16666
1744675200000,4295,4295,4285,4285,5295
1744588800000,4300,4300,4295,4295,6812
1744329600000,4310,4310,4300,4300,1509
1744243200000,4310,4310,4310,4310,34487
1744156800000,4295,4310,4295,4310,22878
1744070400000,4205,4295,4205,4295,2710
1743984000000,4190,4205,4190,4205,11160
1743724800000,4200,4200,4190,4190,8503
1743638400000,4235,4235,4200,4200,2557
1743552000000,4200,4235,4200,4235,2447
1743465600000,4245,4245,4200,4200,11285
1743120000000,4250,4250,4245,4245,24422
1742947200000,4250,4250,4250,4250,8040
1742860800000,4290,4290,4250,4250,12303
1742774400000,4300,4300,4290,4290,4938
1742515200000,4320,4320,4300,4300,3797
1742428800000,4300,4320,4300,4320,7686
1742342400000,4325,4325,4300,4300,5781
1742256000000,4310,4325,4310,4325,1931
1742169600000,4350,4350,4310,4310,4380
1741910400000,4310,4350,4310,4350,19409
1741824000000,4315,4315,4310,4310,5425
1741737600000,4315,4315,4315,4315,2874
1741651200000,4250,4315,4250,4315,15668
1741564800000,4210,4250,4210,4250,6889
1741305600000,4200,4210,4200,4210,4393
1741219200000,4060,4200,4060,4200,41933
1741132800000,3780,4060,3780,4060,10725
1741046400000,3520,3780,3520,3780,6971
1740960000000,3450,3520,3450,3520,15679
1740700800000,3430,3450,3430,3450,490
1740614400000,3455,3455,3430,3430,765
1740528000000,3445,3455,3445,3455,559
1740441600000,3525,3525,3445,3445,12658
1740355200000,3495,3525,3495,3525,5339
1740096000000,3495,3495,3495,3495,2757
1740009600000,3470,3495,3470,3495,9949
1739923200000,3490,3490,3470,3470,2106
1739836800000,3475,3490,3475,3490,3530
1739750400000,3400,3475,3400,3475,1187
1739491200000,3400,3400,3400,3400,3891
1739404800000,3380,3400,3380,3400,3235
1739318400000,3340,3380,3340,3380,1781
1739232000000,3375,3375,3340,3340,2516
1739145600000,3390,3390,3375,3375,4475
1738886400000,3350,3390,3350,3390,2342
